OrderID,CustomerName,Gender,Email,Phone,Product,Category,SubCategory,Quantity,UnitPrice,TotalAmount,OrderDate,ShipDate,Region,PaymentMode,City,State
ORD104286,CASEY Kapoor,,casey.12@mailinator.com,-2827502832,Latt3,Beverages,Coffee,1,487.87,487.87,23-04-2026,1741392000,East,Card ,lucknow,Utt@r Pr@desh
ORD101744,Jordan  Patel,Fem,jordan.12@gmail.com,(842) 9858968,Margh3rita Pizza,Food,Pizza,6,333.5,2001,07/24/26,,Nor,online,MUMBAI,MAHARASHTRA
ORD100316,RILEY Desai,Female,riley71@company.co,-6124128912,VEG BURGER,Food,Burger,1,401.44,401.44,30-06-2025,1796947200,North-Zone,ON line,AHMEDABAD,Gujarat
ORD104667,charlie Khan,M,charlie.@outlook.com,8055769980 ext 765,P3pp3roni Pizza,Food,Pizza,5,₹754.21,3771.05,"Sep 06, 2026",05-Jan-26,West,ONLINE,lucknow,UTTAR PRADESH
ORD100098,Skyler Kapoor,Male,skyler79@yahoo.com,9079223686 ext 182,Butt3r Naan,Food,Bread,6,1021.92,6131.52,"Sep 08, 2024",06.07.2023,north ,CARD,JAIPUR,rajasthan
ORD100941,Jamie  Nath,F,jamie@hotmail.com,7732483992,Cok3 500ml,Beverages,Soft Drink,6,920.45,5522.7,2026-02-09T00:00:00,10 12 25,north,NET BANKING,nagpur,maharashtra
ORD103753,Jamie desai,FEMALE,jamie60@example.com,6528913909,Margh3rita Pizza,Food,Pizza,2,738.03,1476.06,01/26/25,12/16/24,Sou,Cash,Jaipur,rajasthan
ORD104952,Drew nath,,drewgmail.com,+91 7705785161,Veg Burger,Food,Burger,5,566.71,2833.55,21-05-2022,07.04.25,South,Cashier,Kolkata ,West Bengal 
ORD102051,LEE Agarwal,Male,lee.@outlook.com,,cheese fries,Food,Sides,1,710.47,710.47,1797033600,05-Jul-25,Nor,Card ,delhi,delhi
ORD100333,kai Khan,male,kai.12@mailinator.com,+91 6229935482,Mango Smoothi3,Beverages,Smoothie,5,103.44,517.2,1762732800,24-10-2023,Central,Cash ,Nagpur ,maharashtra
ORD102634,Robin  Joshi,M,robin.@mailinator.com,9277410491,pepperoni pizza,Food,Pizza,3,1072.1,3216.3,,29.11.2025,South-Zone,UPI ,Lucknow,Uttar Pradesh 
ORD101032,Avery gupta,Non-binary,avery.x@example.com,6555108663 ext 275,espresso,B3v3rag3s,Coffee,1,127.12,127.12,01-12-2023,"Jan 21, 2025",East  ,Card ,Jaipur ,Rajasthan 
ORD102843,Alex Nath,nb,alex.x@outlook.com,-9435500363,Coke 500ml,Beverages,Soft Drink,4,988,3952,"May 10, 2026",03 07 25,SOUTH,Cashier,Mumbai ,M@h@r@shtr@
ORD102342,Lee agarwal,F ,leegmailcom,8069768038,margherita pizza,Food,Pizza,4,"1,028.00",4112,12.07.2025,"Jun 16, 2025",north ,on line,Delhi ,Delhi
ORD104442,Morgan Verma Jr,nb,morgan22@gmail.com,+91 6086373209,coke 500ml,Beverages,Soft Drink,5,790.82,3954.1,11-16-24,"Jun 14, 2025",Central region,online ,Lucknow,Uttar Pradesh 
ORD101997,Kai chaudhary,,kai.@example.com,(715) 3453452,Mango Smoothi3,Beverages,Smoothie,1,737.99,735.33,"Aug 07, 2025","Jul 20, 2024",Central  ,OnLine,Hyderabad,Telangana 
ORD104654,Avery gupta,Non-binary,avery.x@outlook.com,-5097581723,Orange Juice,Beverages,Juice,6,320.76,2825.63,27-04-2027,10 02 2025,Wes,Cashier,Pune,maharashtra
ORD104294,CAMERON Sharma,Male,cameron40@yahoo.com,+91 7818225507,Margh3rita Pizza,Food,Pizza,2,₹936.60,1873.2,20-Apr-25,2025-09-11T00:00:00,East  ,UPI ,Bengaluru,Karnataka 
ORD103542,Cameron  Dutta,MALE,cameron53@outlook.com,+91 9259179556,Espresso,Beverages,Coffee,1,1090.4,1090.4,"Dec 24, 2022",10-01-2024,Central region,Cash ,Nagpur ,M@h@r@shtr@
ORD101891,Jesse  Joshi,male,jesse.@gmail.com,-1424676622,chocolate cake,Dessert,Cake,3,634.35,1903.05,03-08-2023,13-09-2023,east,on line,hyderabad,telangana
ORD102688,Cameron  Chaudhary,Unknown,cameron.x@hotmail.com,-9067743087,pepperoni pizza,Food,Pizza,5,623.56,3117.8,"Aug 11, 2025",09 12 23,North region,on line,Lucknow ,Uttar Pradesh 
ORD101140,KAI Chaudhary,FEMALE,,7765148062,Garlic Bread,Food,Sides,1,665.21,24612.77,26-06-2024,"Nov 03, 2023",north ,online ,PUNE,MAHARASHTRA
ORD102856,SKYLER Kulkarni,male,skyler.@yahoo.com,9511284339,veg burger,Food,Burger,3,699.64,3200.8,2025-03-29T00:00:00,2023 03 15,East,on line,KOLKATA,West Bengal 
ORD100825,LEE Chaudhary,F ,lee@mailinator.com,9852876315,Latte ,Beverages,Coffee,2,709.17,1937.18,2023-01-05T00:00:00,03-Aug-26,North,CASH,LUCKNOW,uttar pradesh
ORD102288,Cameron Rao,F,cameron.@mailinator.com,6613421431,COKE 500ML,Beverages,Soft Drink,5,₹1049.60,5248,11 18 25,10.17.22,Nor,Cash ,BENGALURU,KARNATAKA
ORD103265,casey Singh,M,casey.x@outlook.com,93170,Mango Smoothie,Beverages ,Smoothie,5,687,3435,08-08-2023,"Jan 05, 2025",West region,Cash ,AHMEDABAD,gujarat
ORD102476,kris Verma,male,kris.x@mailinator.com,9520775138,Tandoori Chicken,Food,Main,1,377.3,377.3,"Oct 18, 2022",08.01.2023,North  ,Net Banking ,delhi,Delhi
ORD104615,quinn Dutta,F,quinn.@yahoo.com,(878) 4073292,Paneer Wrap ,Food,Wrap,2,369.56,739.12,12-20-24,,Central-Zone,OnLine,Chenna1,Tamil Nadu
ORD103796,sasha Shah,female,sasha.12@example.com,9272189760,Coke 500ml,Beverages,Soft Drink,5,524.99,2624.95,03 04 2026,2023-05-22T00:00:00,North  ,OnLine,Bengaluru,Karnataka 
ORD104651,Jamie Bose,M,jamie.x@yahoo.com,(869) 9634643,COKE 500ML,Beverages,Soft Drink,3,87.79,263.37,03-01-2023,2027 03 10,Nor,Net Banking ,Bengaluru,K@rn@t@k@
ORD104056,jamie Kulkarni,Non-binary,jamie@.com,-2258763796,Chicken Burger,food,Burger,6,1196.73,7180.38,1739750400,15.05.2024,North  ,CARD,nagpur,Maharashtra 
ORD103535,Morgan Joshi,FEMALE,morgan.@hotmail.com,-8988527639,ESPRESSO,Beverages,Coffee,4,603.25,2413,12-02-2026,17-Mar-27,CENTRAL,ON line,Bengaluru ,karnataka
ORD103003,QUINN Mehta,nb,quinn.@yahoo.com,78871,Tandoori Chicken,Food,Main,4,873.45,3493.8,24-05-2026,04/19/23,South,online ,Ahmedabad ,Gujarat 
ORD104706,QUINN Khan Jr,Non-binary,quinn.x@hotmail.com,(910) 6970921,Mango Smoothi3,Beverages,Smoothie,2,229.5,459,09.09.2025,1746921600,NORTH,Cashier,Kolkata ,WEST BENGAL
ORD102878,harper Iyer,nb,harper.12@gmail.com,6722239121,Tandoori Chicken ,Foodg,Main,5,901.72,7393.04,,"Nov 13, 2023",Central region,UPI ,mumbai,Maharashtra 
ORD104287,kris Nath,Male,kris.@yahoo.com,-3147354888,MANGO SMOOTHIE,Beverages,Smoothie,5,936.83,4684.15,04-06-2026,30.05.2024,north ,CARD,Delh1,Delhi
ORD102070,CHARLIE Dutta,Non-binary,charlie.12@gmail.com,(679) 6658647,orange juice,Beverages,Juice,5,251.09,1255.45,21-09-2025,"Feb 12, 2026",NORTH,Cashier,Hyderabad,Telangana 
ORD104952,ROBIN Kulkarni,FEMALE,robin19@mailinator.com,(931) 3772963,Ch33s3 Fri3s,Food,Sides,5,1143.92,5719.6,17.11.2023,30-Dec-24,Central  ,net banking,CHENNAI,Tamil Nadu
ORD100910,Sam Dutta,FEMALE,sam@example.com,8742339236 ext 973,Latte,Beverages,Coffee,6,706.59,4239.54,"Jun 06, 2025",24.02.2025,Nor,online ,Chenna1,tamil nadu
ORD103634,Angel Chaudhary,FEMALE,angel.x@yahoo.com,(902) 3129530,CHEESE FRIES,Food,Sides,4,152.08,608.32,09/15/25,"May 23, 2026",South-Zone,Cashier,Ja1pur,Rajasthan
ORD101218,casey Verma,Male,casey@company.co,-6758607082,Margh3rita Pizza,Food,Pizza,5,1102.42,5512.1,1646784000,02 11 2025,South,on line,Mumba1,Maharashtra
ORD104121,Charlie rao,Male,charliegmail.com,6428408439 ext 85,Ch33s3 Fri3s,Food,Sides,2,1025.15,2050.3,"Mar 18, 2023",23-Nov-26,East region,OnLine,pune,M@h@r@shtr@
ORD100327,Devin verma,male,devin.12@outlook.com,8294007227,Pepperoni Pizza ,Food,Pizza,5,460.25,110460,25-06-2027,"Sep 03, 2022",South region,upi,chennai,Tamil Nadu 
ORD103565,jesse Nair,female,jesse.com,+91 9573959661,Tandoori Chicken ,Food,Main,4,840.41,3361.64,1722038400,12.01.26,East-Zone,UPI,Hyderabad ,Telangana
ORD100561,harper Verma,Fem,harper.@mailinator.com,-8492178771,Coke 500ml,Beverages,Soft Drink,1,960.4,22089.2,24 03 2025,27-03-2025,West-Zone,online ,Delhi ,Delhi
ORD100856,casey Joshi,F ,casey.x@company.co,-6240237496,COKE 500ML,Beverages,Soft Drink,2,576.25,1152.5,"Aug 14, 2024",2023-04-10T00:00:00,NORTH,on line,Chennai ,T@mil N@du
ORD100404,Harper bose,F ,harper.@hotmail.com,99242,ORANGE JUICE,Beverages,Juice,2,996.64,1993.28,"Apr 17, 2025",,South  ,Card ,PUNE,M@h@r@shtr@
ORD101112,Cameron patel,Male,cameron25@outlook.com,,Espresso,Beverages,Coffee,3,561.89,2883.51,2026.04.20,23-07-2026,South region,ON line,Kolkata ,west bengal
ORD100126,DREW Chaudhary,Fem,drew.x@company.co,78184,PEPPERONI PIZZA,Food,Pizza,5,925.34,4626.7,2023-12-17T00:00:00,18-05-2024,north ,Cashier,mumbai,Maharashtra
ORD100258,SKYLER Patel,nb,skyler@example.com,9114796986,Tandoori Chicken ,Food,Main,3,328.3,984.9,07-Feb-23,03.08.2025,Nor,ON line,Ahmedabad ,Guj@r@t
ORD103888,JORDAN Khan,Male,jordan.x@hotmail.com,(728) 6113515,Cheese Fries,Food,Sides,1,964.45,964.45,2025.10.14,,North,Online ,Lucknow,Uttar Pradesh
ORD100436,Morgan Kulkarni,Female,morgan.x@mailinator.com,6070194399,latte,Beverages,Coffee,5,713,3565,13-02-2026,2027.01.12,South,upi,Chennai ,Tamil Nadu
ORD101321,Jesse  Agarwal,,jesse.x@example.com,8156968684,Veg Burger ,Food,Burger,2,1171.16,2342.32,10 05 2024,"Mar 28, 2025",north ,NET BANKING,Chenna1,TAMIL NADU
ORD102436,Jesse agarwal,Male,jesse.@hotmail.com,(659) 5485531,Chicken Burger,Foodg,Burger,5,660,3300,24.02.2023,"Apr 19, 2025",CENTRAL,Online ,KOLKATA,West Bengal 
ORD101801,riley Joshi,M,riley.@mailinator.com,-2315068463,MANGO SMOOTHIE,Beverages,Smoothie,3,727,2181,16-05-2023,,north ,ONLINE,Lucknow,Utt@r Pr@desh
ORD101449,AVERY Joshi,Unknown,avery.@mailinator.com,9967667176 ext 587,coke 500ml,Beverages,Soft Drink,1,603.92,603.92,01 20 25,16-07-2025,Cen,ON line,Jaipur ,Rajasthan 
ORD100479,Skyler  Verma,Male,skyler.x@hotmail.com,9818886561,Garlic Bread ,food,Sides,1,913.14,913.14,2026.11.29,05-11-2026,Eas,Cashier,Mumbai ,Maharashtra
ORD100673,Jamie  Agarwal,Non-binary,jamie.@outlook.com,9212367816 ext 256,Veg Burger ,Food,Burger,4,159.78,639.12,,07-04-2024,East-Zone,on line,jaipur,R@j@sth@n
ORD104030,cameron Sharma,male,cameron99@company.co,8590004214,P3pp3roni Pizza,Food,Pizza,3,974.21,78911.01,2026 07 16,"Mar 29, 2024",East-Zone,on line,Nagpur ,Maharashtra
ORD103763,Lee gupta,male,lee.12@company.co,9632643539 ext 718,ESPRESSO,Beverages,Coffee,4,232.02,928.08,,13-Jun-26,Cen,Cash ,Nagpur,M@h@r@shtr@
ORD100100,Jesse  Desai,F,jesse39@yahoo.com,+91 9312168268,coke 500ml,Beverages,Soft Drink,5,357.21,1786.05,1692576000,14-01-2023,north ,Card ,Delh1,DELHI
ORD104011,alex Desai,female,alex@yahoo.com,8783295928,V3g Burg3r,Food,Burger,2,975.53,1640.92,06-02-2024,2026 10 21,South-Zone,on line,Bengaluru ,karnataka
ORD104048,robin Sharma,F,,(731) 1175907,CHOCOLATE CAKE,Dessert,Cake,2,996.07,1992.14,15.02.2023,04-04-2024,Central,Cash ,NAGPUR,maharashtra
ORD103173,robin Dutta,female,robin.12@example.com,71643,PEPPERONI PIZZA,Food,Pizza,3,939.36,3310.79,06-11-2024,,south,cash,Mumba1,MAHARASHTRA
ORD103159,HARPER Rao,F,harper.12@gmail.com,+91 9877125982,Veg Burger ,Food,Burger,6,885.94,4056.54,24-Oct-24,2026.02.04,North-Zone,online ,ahmedabad,GUJARAT
ORD104169,Jamie  Dutta,MALE,,-8328225778,Espr3sso,Beverages,Coffee,5,1069.69,6703.25,05 08 2025,15-Mar-24,Cen,Cash ,Jaipur ,rajasthan
ORD101061,AVERY Mehta,Non-binary,averygmail.com,-4067708439,Margherita Pizza,Food,Pizza,5,654.75,3273.75,"Jun 05, 2025",06 28 23,WEST,online ,HYDERABAD,Telangana 
ORD103053,Angel bose,MALE,angel.com,68939,chocolate cake,Dessert,Cake,4,85.92,343.68,13-02-2024,22-May-23,north ,Cash ,Lucknow ,UTTAR PRADESH
ORD103666,Sasha Chaudhary,F ,sasha.x@hotmail.com,6148123278 ext 153,Chick3n Burg3r,Food,Burger,3,950.58,2851.74,08.09.2026,07-06-2024,West-Zone,UPI,Nagpur ,Maharashtra 
ORD103397,HARPER Mehta,Non-binary,harper@gmail,9333080147,Tandoori Chick3n,Food,Main,4,617.15,2468.6,1780185600,28-04-2025,west,OnLine,lucknow,UTTAR PRADESH
ORD102554,Robin nath,Fem,robin.x@outlook.com,6856313893,Orang3 Juic3,Beverages,Juice,2,424.21,848.42,"Oct 01, 2023",,South-Zone,Cash ,AHMEDABAD,Gujarat
ORD101777,Alex Sharma,Fem,alex.12@example.com,9176750647 ext 209,GARLIC BREAD,Foodg,Sides,3,617.8,1853.4,"May 04, 2025",22-03-2026,Cen,Cash ,NAGPUR,MAHARASHTRA
ORD104181,RILEY Singh,Non-binary,riley.x@mailinator.com,(600) 7459571,Pepperoni Pizza,Food,Pizza,2,352.64,705.28,24-11-2025,07-03-2026,SOUTH,Cash ,lucknow,Uttar Pradesh 
ORD104294,Robin mehta,Female,robin.x@example.com,6739465697,LATTE,Beverages,Coffee,5,836.03,6310.97,11 24 24,11.03.26,Central  ,Cashier,lucknow,Utt@r Pr@desh
ORD104548,Taylor Kulkarni,Fem,taylor.12@yahoo.com,8199288315,Ch33s3 Fri3s,Food,Sides,6,1148.61,6891.66,27-May-25,12-08-2026,South,online ,Ahmedabad,Gujarat
ORD102402,harper Nair Jr,F,harper.x@mailinator.com,9432026301,Ch33s3 Fri3s,Food,Sides,5,490.67,2453.35,02 20 25,03-25-27,South  ,OnLine,Bengaluru,KARNATAKA
ORD103053,Jamie  Patel,Female,jamie.12@company.co,+91 7535888059,Coke 500ml ,Beverages,Soft Drink,6,116.85,701.1,2023-02-14T00:00:00,21-09-2023,East  ,UPI ,Kolkata ,west bengal
ORD103226,Sam  Singh,female,sam.x@gmail.com,+91 8243377690,P3pp3roni Pizza,Food,Pizza,4,567.51,2270.04,1817596800,27-10-2026,West-Zone,ONLINE,Ahmedabad ,Guj@r@t
ORD101927,HARPER Desai,F,harper.12@mailinator.com,8688171224,MARGHERITA PIZZA,Food,Pizza,3,371.65,1114.95,20-Sep-22,"Jun 05, 2027",Central  ,on line,Hyderabad,telangana
ORD100446,morgan Joshi,nb,morgan.@outlook.com,9794518776 ext 726,Pepperoni Pizza,Food,Pizza,1,581.08,581.08,27-05-2022,"Apr 21, 2024",Wes,Cash,Hyderabad,Telangana
ORD100662,Riley Mehta,MALE,riley.x@hotmail.com,76822,Tandoori Chicken,Food,Main,3,₹969.94,2909.82,14 03 2024,11-01-2023,West,online ,Delh1,DELHI
ORD100758,rowan Agarwal,Female,rowan.@outlook.com,9235319689,Chicken Burger,Food,Burger,3,1171.67,3515.01,08/19/27,04 18 24,East,Cash,Lucknow ,uttar pradesh
ORD104207,Casey nath,FEMALE,casey.@gmail.com,80691,PANEER WRAP,Food,Wrap,5,649.17,3245.85,08.26.24,17-03-2026,South-Zone,CARD,PUNE,MAHARASHTRA
ORD100229,riley Iyer,FEMALE,riley@example.com,-2008109974,Latte,beverages,Coffee,2,77.09,163.4,27-09-2024,,North region,Cash ,Ahmedabad,Gujarat 
ORD102507,Kris Iyer,female,,-6645963102,LATTE,Beverages,Coffee,2,428.25,856.5,1792108800,11 29 23,Central-Zone,Cash ,Hyderabad ,Telangana 
ORD104406,Sasha Verma,FEMALE,sasha.12@outlook.com,9041519887,Chocolate Cake,Dessert,Cake,1,955.46,955.46,20-06-2024,2025-10-07T00:00:00,Sou,UPI,Mumbai ,M@h@r@shtr@
ORD101288,CAMERON Sharma,Female,cameron.@gmail.com,7142738104 ext 589,ORANGE JUICE,Beverages,Juice,1,893.07,886.47,14-Nov-23,2025 03 09,Wes,NET BANKING,Mumba1,MAHARASHTRA
ORD104001,casey Mehta,Non-binary,casey.12@example.com,6267526214 ext 574,Veg Burger,Food,Burger,1,222.12,164.81,"Mar 14, 2025",2026-05-06T00:00:00,West-Zone,ONLINE,hyderabad,Tel@ng@n@
ORD101132,jesse Agarwal,,jesse@gmail.com,(828) 2134244,Orange Juice ,Beverages,Juice,3,688.57,2065.71,04/28/23,24-11-2024,central,ON line,Delhi,DELHI
ORD102123,Jesse  Gupta,MALE,jesse.x@gmail.com,+91 8885417138,Chocolate Cake,Dessert,Cake,5,648.67,3243.35,"Oct 16, 2024",24-May-27,Nor,on line,DELHI,delhi
ORD101362,KAI Nath,female,kai.x@company.co,,Pepperoni Pizza ,Food,Pizza,4,519.73,2078.92,"Jan 22, 2022",07-07-2024,north ,OnLine,NAGPUR,Maharashtra 
ORD100205,Cameron  Sharma,FEMALE,cameron.@outlook.com,7076704744,Chocolate Cake ,Dessert,Cake,1,71.03,71.03,03-01-2026,18-Dec-24,north ,OnLine,Lucknow ,Utt@r Pr@desh
ORD101227,CHARLIE Kulkarni,FEMALE,charlie@example.com,,PANEER WRAP,Foods,Wrap,5,123.98,619.9,2025 05 01,"Nov 03, 2024",north,Online ,Mumbai ,MAHARASHTRA
ORD101529,Sam  Agarwal,Non-binary,sam@.com,69931,garlic bread,Food,Sides,5,1102.58,5512.9,"Jun 09, 2024",02 07 24,North,Net Banking ,KOLKATA,WEST BENGAL
ORD102589,Lee Gupta,,lee.@outlook.com,6972784069,Margherita Pizza ,Food,Pizza,5,1138.82,5694.1,06-01-2025,01-10-2026,North  ,Cashier,Bengaluru ,Karnataka
ORD100369,Robin Dutta,Fem,robin.@outlook.com,6187938720 ext 583,Margh3rita Pizza,Food,Pizza,3,105.46,316.38,08-09-2026,14-Oct-24,north ,ON line,AHMEDABAD,Guj@r@t
ORD104871,Robin iyer,F ,robin@example.com,-1782456014,Chocolate Cake ,Dessert,Cake,2,515.46,1411.88,,02-17-25,North-Zone,Cashier,LUCKNOW,Uttar Pradesh 
ORD101656,Jordan  Kapoor,Unknown,jordan.x@outlook.com,-1312871440,BUTTER NAAN,Food,Bread,5,1079.99,215998,22-Mar-25,01-06-2022,north ,on line,nagpur,M@h@r@shtr@
ORD103356,Harper Khan,,harper.x@company.co,9734494858 ext 338,latte,Beverages,Coffee,3,168.39,629.33,04-07-2025,,South-Zone,Card,HYDERABAD,Telangana 
ORD104140,Rowan kulkarni,Non-binary,rowan.12@mailinator.com,-9825694649,Mango Smoothi3,Beveragess,Smoothie,3,360.99,1082.97,21-11-2023,04-Apr-23,south,Cashier,delhi,Delhi
ORD103272,Devin  Singh,F,devin.@outlook.com,,tandoori chicken,Food,Main,5,1083.63,5418.15,1788998400,2024-12-02T00:00:00,East-Zone,UPI,PUNE,M@h@r@shtr@
ORD102158,Charlie Kapoor,Unknown,charlie83@mailinator.com,-9365628788,PANEER WRAP,Food,Wrap,4,₹230.92,1490.64,11-07-2022,08/17/25,WEST,Cash ,Kolkata,WEST BENGAL
ORD104495,harper Iyer,F,harper.12@mailinator.com,77144,Pepperoni Pizza,Food,Pizza,1,711.22,711.22,11 09 24,"Aug 30, 2024",Eas,UPI,chennai,TAMIL NADU
ORD101154,Jesse Rao,Unknown,jesse.@yahoo.com,90986,Paneer Wrap ,Food,Wrap,5,579.94,2899.7,2023.04.27,10-04-2023,East-Zone,online ,Mumbai,maharashtra
ORD101714,Drew  Rao,M,drew@hotmail.com,+91 9459726877,PANEER WRAP,Food,Wrap,10,644.44,6444.4,2023-07-14T00:00:00,"Feb 20, 2025",SOUTH,Cash ,Chennai ,T@mil N@du
ORD103723,Jamie bose,,,7628647045,Tandoori Chicken,Food,Main,6,102.23,613.38,17-May-23,"Jun 23, 2026",north ,OnLine,Hyderabad,TELANGANA
ORD101309,Jordan  Gupta,male,jordan.x@hotmail.com,+91 9039518800,orange juice,Beverages,Juice,4,542.85,2171.4,"Jun 12, 2023",05.11.2022,CENTRAL,UPI,Bengaluru,Karnataka 
ORD102354,jamie Sharma,Unknown,jamie.12@company.co,9816239110,Chicken Burger,Food,Burger,4,656.18,2624.72,11 12 23,24-Jun-24,Central  ,Net Banking,AHMEDABAD,Gujarat 
ORD100903,Parker kapoor,nb,parker.@example.com,82086,mango smoothie,Beverages,Smoothie,4,868.68,4191.15,22.07.2024,25-12-2024,North region,ON line,Delhi,Delhi
ORD104818,Jordan  Gupta,Unknown,jordan.x@example.com,6280255912 ext 409,tandoori chicken,Food,Main,4,161.78,435.03,1745625600,1729555200,Central  ,ON line,Mumbai,MAHARASHTRA
